
Time taken: 0.00223 s


saleid | itemid | customerid | storeid | time | qty | pricerange
556 | 116 | 37 | 5 | 74 | 25 | outrageous
230 | 94 | 185 | 96 | 67 | 41 | expensive
576 | 71 | 57 | 95 | 67 | 41 | expensive
458 | 126 | 198 | 13 | 67 | 24 | expensive
558 | 106 | 2 | 57 | 67 | 1 | moderate
536 | 76 | 2 | 27 | 67 | 15 | outrageous
542 | 88 | 2 | 52 | 67 | 4 | outrageous
417 | 93 | 168 | 80 | 76 | 40 | supercheap
229 | 101 | 59 | 48 | 56 | 38 | outrageous
382 | 72 | 180 | 77 | 67 | 26 | outrageous
325 | 115 | 2 | 30 | 67 | 47 | outrageous
244 | 83 | 2 | 75 | 67 | 27 | expensive
624 | 117 | 2 | 5 | 16 | 18 | outrageous
891 | 64 | 2 | 10 | 67 | 34 | outrageous
128 | 81 | 43 | 85 | 49 | 26 | expensive
446 | 136 | 16 | 85 | 67 | 50 | outrageous
295 | 80 | 2 | 25 | 84 | 34 | outrageous
203 | 20 | 41 | 40 | 67 | 3 | outrageous
769 | 91 | 2 | 62 | 67 | 26 | cheap
569 | 133 | 59 | 15 | 67 | 42 | outrageous
570 | 92 | 2 | 87 | 49 | 5 | outrageous
870 | 89 | 185 | 67 | 67 | 31 | outrageous
970 | 100 | 2 | 19 | 61 | 1 | outrageous
553 | 94 | 137 | 20 | 67 | 16 | outrageous
28 | 128 | 166 | 12 | 67 | 25 | outrageous
346 | 90 | 59 | 76 | 67 | 4 | cheap
945 | 92 | 2 | 73 | 39 | 2 | moderate
710 | 87 | 59 | 78 | 69 | 5 | outrageous
251 | 134 | 59 | 33 | 67 | 15 | moderate
450 | 123 | 140 | 75 | 67 | 19 | outrageous
732 | 100 | 157 | 67 | 24 | 20 | outrageous
55 | 64 | 2 | 33 | 46 | 14 | outrageous
675 | 105 | 2 | 12 | 67 | 38 | outrageous
745 | 88 | 186 | 88 | 67 | 11 | outrageous
515 | 199 | 2 | 23 | 5 | 8 | expensive
98 | 109 | 2 | 79 | 46 | 29 | outrageous
620 | 90 | 185 | 89 | 67 | 36 | expensive
778 | 75 | 160 | 72 | 67 | 17 | supercheap
820 | 129 | 130 | 76 | 49 | 9 | outrageous
747 | 77 | 185 | 49 | 67 | 3 | outrageous
142 | 77 | 2 | 51 | 67 | 26 | outrageous
32 | 127 | 2 | 95 | 74 | 47 | outrageous
845 | 84 | 25 | 81 | 25 | 2 | outrageous
286 | 84 | 59 | 74 | 67 | 38 | outrageous
796 | 99 | 130 | 100 | 56 | 30 | outrageous
843 | 82 | 59 | 35 | 4 | 5 | outrageous
137 | 91 | 182 | 85 | 67 | 18 | moderate
692 | 70 | 191 | 4 | 38 | 20 | outrageous
633 | 121 | 96 | 94 | 67 | 24 | outrageous
893 | 90 | 200 | 59 | 17 | 27 | outrageous
222 | 117 | 47 | 83 | 67 | 11 | expensive
936 | 122 | 185 | 64 | 87 | 8 | outrageous
154 | 117 | 2 | 9 | 61 | 2 | outrageous
477 | 115 | 59 | 91 | 67 | 28 | moderate
37 | 70 | 2 | 29 | 67 | 12 | cheap
909 | 119 | 2 | 44 | 67 | 7 | outrageous
568 | 99 | 2 | 18 | 26 | 20 | outrageous
14 | 97 | 20 | 95 | 9 | 24 | outrageous
120 | 94 | 9 | 43 | 92 | 27 | outrageous
226 | 109 | 185 | 77 | 77 | 8 | outrageous
199 | 89 | 151 | 45 | 4 | 11 | outrageous
152 | 91 | 15 | 18 | 48 | 18 | moderate
584 | 105 | 2 | 98 | 67 | 38 | outrageous
469 | 127 | 2 | 77 | 95 | 38 | outrageous
393 | 119 | 196 | 84 | 93 | 28 | moderate
24 | 97 | 28 | 61 | 84 | 24 | outrageous
817 | 81 | 2 | 39 | 67 | 11 | outrageous
517 | 119 | 51 | 6 | 51 | 1 | outrageous
204 | 104 | 97 | 31 | 18 | 15 | expensive
263 | 184 | 2 | 32 | 51 | 9 | outrageous
415 | 89 | 140 | 27 | 67 | 2 | cheap
70 | 72 | 84 | 54 | 67 | 45 | supercheap
729 | 84 | 119 | 17 | 67 | 48 | outrageous
497 | 129 | 59 | 63 | 67 | 18 | moderate
26 | 109 | 130 | 51 | 99 | 22 | outrageous
61 | 119 | 125 | 55 | 11 | 2 | outrageous
564 | 84 | 196 | 6 | 69 | 25 | outrageous
255 | 122 | 24 | 7 | 67 | 49 | outrageous
49 | 162 | 59 | 25 | 67 | 22 | expensive
670 | 99 | 2 | 36 | 95 | 25 | expensive
888 | 126 | 2 | 87 | 80 | 19 | expensive
602 | 99 | 59 | 16 | 95 | 27 | outrageous
356 | 89 | 47 | 95 | 67 | 37 | outrageous
344 | 129 | 177 | 70 | 67 | 40 | outrageous
319 | 136 | 2 | 56 | 46 | 21 | outrageous
966 | 97 | 2 | 86 | 67 | 45 | outrageous
713 | 9 | 168 | 34 | 67 | 14 | outrageous
332 | 117 | 140 | 98 | 67 | 1 | outrageous
672 | 101 | 59 | 46 | 67 | 4 | moderate
523 | 93 | 2 | 10 | 3 | 9 | moderate
163 | 90 | 2 | 25 | 7 | 24 | outrageous
443 | 103 | 78 | 64 | 67 | 49 | outrageous
285 | 92 | 59 | 9 | 67 | 18 | outrageous
484 | 107 | 66 | 96 | 67 | 33 | supercheap
825 | 112 | 59 | 10 | 67 | 24 | outrageous
90 | 84 | 51 | 27 | 43 | 8 | outrageous
253 | 106 | 126 | 13 | 67 | 39 | outrageous
988 | 129 | 196 | 72 | 67 | 22 | outrageous
667 | 133 | 39 | 30 | 67 | 26 | outrageous
181 | 114 | 2 | 48 | 67 | 49 | outrageous
840 | 85 | 2 | 31 | 44 | 23 | cheap
147 | 81 | 2 | 4 | 92 | 11 | outrageous
566 | 113 | 20 | 49 | 67 | 41 | outrageous
67 | 67 | 69 | 25 | 61 | 31 | outrageous
627 | 93 | 2 | 15 | 67 | 44 | supercheap
58 | 70 | 2 | 64 | 67 | 1 | outrageous
56 | 74 | 2 | 77 | 67 | 40 | outrageous
916 | 75 | 59 | 65 | 100 | 11 | outrageous
316 | 95 | 2 | 88 | 67 | 12 | outrageous
797 | 69 | 185 | 21 | 67 | 23 | outrageous
213 | 120 | 20 | 90 | 67 | 5 | expensive
422 | 86 | 161 | 36 | 67 | 26 | expensive
851 | 85 | 156 | 37 | 70 | 19 | outrageous
976 | 114 | 2 | 44 | 51 | 3 | outrageous
802 | 102 | 86 | 34 | 51 | 50 | outrageous
103 | 98 | 59 | 15 | 61 | 40 | outrageous
474 | 133 | 59 | 42 | 67 | 7 | outrageous
520 | 95 | 23 | 70 | 67 | 19 | moderate
427 | 78 | 2 | 43 | 67 | 5 | outrageous
107 | 119 | 2 | 18 | 67 | 1 | supercheap
5 | 93 | 59 | 11 | 67 | 12 | outrageous
241 | 99 | 102 | 37 | 67 | 50 | supercheap
821 | 107 | 2 | 51 | 67 | 39 | moderate
714 | 107 | 159 | 74 | 100 | 9 | outrageous
74 | 64 | 166 | 47 | 54 | 1 | outrageous
134 | 81 | 56 | 42 | 53 | 49 | outrageous
21 | 137 | 195 | 74 | 37 | 13 | outrageous
700 | 68 | 2 | 37 | 92 | 23 | outrageous
215 | 88 | 57 | 68 | 67 | 49 | outrageous
788 | 190 | 48 | 5 | 22 | 12 | outrageous
805 | 110 | 59 | 51 | 67 | 48 | outrageous
686 | 86 | 156 | 37 | 70 | 49 | outrageous
371 | 62 | 33 | 23 | 67 | 7 | outrageous
442 | 110 | 51 | 20 | 67 | 49 | outrageous
835 | 117 | 197 | 50 | 67 | 33 | supercheap
815 | 149 | 184 | 92 | 67 | 23 | supercheap
766 | 69 | 59 | 14 | 67 | 35 | outrageous
960 | 91 | 121 | 100 | 3 | 9 | outrageous
609 | 90 | 166 | 72 | 67 | 21 | supercheap
340 | 72 | 190 | 59 | 67 | 23 | moderate
75 | 99 | 2 | 90 | 28 | 1 | expensive
360 | 90 | 185 | 72 | 67 | 6 | outrageous
540 | 77 | 2 | 26 | 61 | 47 | outrageous
957 | 124 | 141 | 53 | 67 | 38 | outrageous
192 | 83 | 59 | 38 | 46 | 14 | expensive
4 | 121 | 2 | 52 | 67 | 6 | outrageous
849 | 91 | 21 | 43 | 61 | 48 | outrageous
238 | 166 | 2 | 56 | 67 | 48 | outrageous
904 | 94 | 2 | 72 | 49 | 1 | outrageous
736 | 92 | 59 | 64 | 67 | 37 | outrageous
33 | 112 | 59 | 99 | 67 | 30 | outrageous
762 | 106 | 2 | 30 | 67 | 25 | outrageous
366 | 63 | 38 | 52 | 92 | 23 | supercheap
267 | 98 | 17 | 47 | 67 | 38 | outrageous
886 | 84 | 2 | 58 | 67 | 24 | outrageous
47 | 192 | 66 | 82 | 67 | 32 | expensive
20 | 78 | 130 | 2 | 67 | 30 | outrageous
863 | 85 | 25 | 19 | 46 | 10 | expensive
597 | 108 | 59 | 53 | 67 | 23 | outrageous
949 | 135 | 168 | 55 | 80 | 17 | outrageous
721 | 130 | 2 | 74 | 67 | 5 | outrageous
35 | 126 | 175 | 32 | 67 | 10 | moderate
860 | 81 | 47 | 36 | 61 | 15 | supercheap
362 | 87 | 40 | 39 | 49 | 22 | cheap
799 | 89 | 80 | 88 | 77 | 48 | outrageous
575 | 106 | 2 | 9 | 67 | 21 | outrageous
471 | 127 | 2 | 85 | 67 | 21 | outrageous
516 | 109 | 75 | 59 | 83 | 33 | outrageous
551 | 107 | 79 | 11 | 76 | 47 | outrageous
777 | 85 | 131 | 20 | 67 | 45 | expensive
376 | 115 | 2 | 35 | 51 | 28 | outrageous
501 | 99 | 2 | 62 | 67 | 2 | outrageous
632 | 93 | 197 | 5 | 67 | 10 | outrageous
438 | 110 | 2 | 48 | 61 | 10 | outrageous
715 | 133 | 2 | 52 | 61 | 9 | outrageous
413 | 92 | 82 | 96 | 99 | 15 | expensive
470 | 74 | 2 | 65 | 54 | 45 | outrageous
166 | 70 | 2 | 76 | 67 | 38 | expensive
414 | 105 | 2 | 87 | 53 | 33 | outrageous
276 | 120 | 59 | 46 | 67 | 4 | outrageous
78 | 105 | 2 | 5 | 90 | 47 | expensive
243 | 137 | 180 | 83 | 91 | 27 | outrageous
965 | 88 | 5 | 7 | 71 | 39 | supercheap
937 | 119 | 57 | 37 | 58 | 49 | outrageous
481 | 87 | 2 | 21 | 67 | 26 | outrageous
770 | 83 | 23 | 86 | 67 | 22 | outrageous
928 | 104 | 1 | 73 | 67 | 10 | outrageous
390 | 117 | 110 | 69 | 51 | 15 | outrageous
121 | 111 | 2 | 89 | 61 | 13 | outrageous
429 | 83 | 79 | 81 | 67 | 3 | cheap
525 | 82 | 166 | 23 | 51 | 16 | outrageous
760 | 110 | 2 | 20 | 32 | 28 | outrageous
493 | 78 | 104 | 32 | 46 | 10 | outrageous
22 | 74 | 2 | 8 | 67 | 35 | outrageous
116 | 129 | 200 | 5 | 66 | 6 | outrageous
23 | 77 | 2 | 14 | 67 | 12 | outrageous
114 | 82 | 102 | 63 | 67 | 19 | moderate
308 | 111 | 59 | 96 | 67 | 25 | outrageous
752 | 90 | 92 | 62 | 67 | 29 | moderate
19 | 61 | 47 | 97 | 67 | 47 | outrageous
634 | 121 | 2 | 48 | 32 | 1 | cheap
439 | 128 | 15 | 52 | 67 | 14 | outrageous
411 | 102 | 59 | 55 | 46 | 3 | moderate
648 | 82 | 5 | 3 | 67 | 47 | outrageous
298 | 136 | 2 | 58 | 67 | 41 | expensive
288 | 46 | 2 | 95 | 67 | 26 | outrageous
169 | 133 | 59 | 76 | 54 | 29 | outrageous
600 | 112 | 36 | 66 | 93 | 31 | outrageous
231 | 68 | 2 | 88 | 67 | 5 | expensive
561 | 76 | 102 | 98 | 82 | 16 | outrageous
478 | 140 | 2 | 72 | 52 | 35 | outrageous
626 | 145 | 131 | 59 | 67 | 24 | outrageous
402 | 116 | 59 | 47 | 57 | 33 | outrageous
806 | 83 | 185 | 49 | 98 | 50 | supercheap
684 | 95 | 22 | 24 | 41 | 28 | moderate
961 | 84 | 139 | 29 | 67 | 40 | outrageous
622 | 111 | 25 | 60 | 61 | 15 | outrageous
330 | 103 | 130 | 94 | 69 | 11 | outrageous
507 | 118 | 25 | 54 | 46 | 27 | outrageous
164 | 86 | 50 | 65 | 67 | 35 | outrageous
650 | 92 | 195 | 91 | 84 | 15 | expensive
862 | 122 | 59 | 66 | 67 | 29 | outrageous
764 | 86 | 2 | 41 | 24 | 8 | outrageous
252 | 137 | 180 | 33 | 67 | 38 | outrageous
952 | 136 | 59 | 41 | 30 | 7 | outrageous
739 | 70 | 2 | 11 | 67 | 47 | outrageous
559 | 11 | 2 | 88 | 67 | 3 | supercheap
896 | 77 | 130 | 85 | 67 | 35 | outrageous
637 | 68 | 195 | 84 | 67 | 37 | outrageous
853 | 65 | 102 | 72 | 67 | 31 | supercheap
314 | 84 | 2 | 95 | 64 | 41 | outrageous
173 | 100 | 2 | 43 | 8 | 20 | outrageous
374 | 106 | 65 | 41 | 46 | 1 | outrageous
956 | 113 | 2 | 37 | 67 | 36 | cheap
45 | 133 | 2 | 63 | 49 | 23 | outrageous
365 | 121 | 2 | 34 | 49 | 3 | outrageous
923 | 94 | 200 | 13 | 98 | 7 | outrageous
157 | 102 | 2 | 56 | 67 | 44 | moderate
589 | 115 | 130 | 10 | 67 | 42 | outrageous
503 | 95 | 2 | 11 | 54 | 26 | outrageous
651 | 105 | 159 | 80 | 92 | 27 | outrageous
100 | 127 | 47 | 28 | 67 | 36 | outrageous
320 | 70 | 196 | 70 | 13 | 18 | outrageous
38 | 97 | 2 | 33 | 67 | 2 | moderate
323 | 66 | 107 | 15 | 62 | 5 | outrageous
398 | 82 | 2 | 41 | 3 | 27 | outrageous
864 | 119 | 12 | 38 | 67 | 49 | outrageous
577 | 82 | 2 | 61 | 67 | 49 | outrageous
640 | 89 | 2 | 11 | 67 | 7 | cheap
978 | 83 | 174 | 19 | 65 | 45 | outrageous
269 | 70 | 59 | 27 | 67 | 11 | expensive
462 | 85 | 130 | 98 | 89 | 38 | outrageous
261 | 107 | 25 | 70 | 67 | 10 | outrageous
40 | 83 | 2 | 100 | 2 | 2 | expensive
92 | 124 | 2 | 36 | 22 | 16 | expensive
612 | 115 | 2 | 64 | 69 | 46 | moderate
866 | 117 | 39 | 2 | 67 | 8 | outrageous
859 | 96 | 170 | 62 | 67 | 17 | outrageous
117 | 134 | 50 | 23 | 67 | 41 | outrageous
531 | 110 | 2 | 53 | 9 | 23 | expensive
663 | 100 | 59 | 12 | 61 | 16 | outrageous
125 | 114 | 59 | 59 | 67 | 12 | outrageous
831 | 122 | 140 | 23 | 67 | 50 | moderate
625 | 116 | 25 | 58 | 68 | 29 | expensive
44 | 109 | 72 | 44 | 67 | 26 | outrageous
833 | 91 | 2 | 93 | 67 | 32 | outrageous
190 | 98 | 161 | 42 | 67 | 47 | outrageous
236 | 136 | 51 | 54 | 67 | 19 | outrageous
910 | 115 | 2 | 1 | 49 | 29 | outrageous
283 | 108 | 102 | 76 | 67 | 2 | outrageous
392 | 106 | 144 | 61 | 13 | 26 | outrageous
165 | 124 | 138 | 64 | 39 | 22 | outrageous
901 | 117 | 1 | 30 | 85 | 19 | moderate
995 | 93 | 125 | 35 | 51 | 5 | outrageous
963 | 70 | 2 | 96 | 67 | 7 | outrageous
549 | 139 | 2 | 34 | 67 | 11 | moderate
416 | 105 | 24 | 43 | 67 | 28 | outrageous
183 | 95 | 162 | 82 | 67 | 36 | outrageous
775 | 113 | 2 | 95 | 67 | 49 | outrageous
733 | 98 | 56 | 9 | 67 | 45 | moderate
232 | 119 | 2 | 94 | 60 | 21 | cheap
327 | 117 | 122 | 4 | 67 | 7 | outrageous
987 | 86 | 154 | 19 | 61 | 6 | outrageous
175 | 76 | 51 | 37 | 31 | 7 | outrageous
878 | 108 | 2 | 9 | 67 | 37 | outrageous
368 | 61 | 2 | 25 | 67 | 21 | moderate
839 | 105 | 2 | 24 | 65 | 20 | expensive
407 | 114 | 59 | 100 | 67 | 5 | outrageous
874 | 112 | 2 | 16 | 67 | 14 | outrageous
539 | 122 | 51 | 32 | 67 | 26 | moderate
68 | 116 | 185 | 73 | 67 | 46 | outrageous
861 | 84 | 59 | 93 | 90 | 13 | outrageous
317 | 110 | 2 | 13 | 67 | 44 | cheap
96 | 104 | 107 | 69 | 67 | 14 | outrageous
409 | 110 | 2 | 38 | 97 | 29 | outrageous
12 | 115 | 2 | 44 | 11 | 14 | expensive
95 | 117 | 2 | 67 | 79 | 17 | expensive
846 | 121 | 2 | 14 | 67 | 11 | outrageous
511 | 130 | 2 | 90 | 67 | 26 | outrageous
196 | 89 | 2 | 2 | 67 | 3 | outrageous
406 | 96 | 2 | 3 | 49 | 13 | outrageous
791 | 92 | 59 | 58 | 78 | 43 | outrageous
281 | 75 | 2 | 58 | 96 | 32 | outrageous
170 | 88 | 121 | 57 | 67 | 1 | outrageous
992 | 83 | 2 | 60 | 67 | 45 | expensive
480 | 107 | 2 | 85 | 67 | 45 | expensive
315 | 92 | 21 | 23 | 61 | 31 | expensive
596 | 113 | 2 | 61 | 66 | 10 | supercheap
913 | 103 | 2 | 87 | 67 | 27 | cheap
543 | 93 | 59 | 42 | 67 | 12 | cheap
495 | 101 | 59 | 65 | 67 | 31 | outrageous
610 | 121 | 2 | 32 | 67 | 8 | outrageous
696 | 134 | 2 | 65 | 48 | 5 | supercheap
826 | 121 | 2 | 55 | 67 | 15 | outrageous
818 | 103 | 140 | 14 | 70 | 24 | supercheap
30 | 110 | 174 | 14 | 67 | 25 | outrageous
674 | 117 | 2 | 55 | 54 | 28 | outrageous
11 | 85 | 59 | 74 | 67 | 31 | supercheap
773 | 116 | 2 | 90 | 67 | 45 | outrageous
842 | 118 | 2 | 69 | 67 | 2 | outrageous
62 | 131 | 25 | 68 | 63 | 40 | outrageous
607 | 150 | 48 | 91 | 46 | 8 | supercheap
412 | 38 | 2 | 32 | 69 | 44 | cheap
514 | 95 | 2 | 47 | 67 | 8 | outrageous
918 | 135 | 2 | 20 | 67 | 43 | outrageous
707 | 56 | 102 | 51 | 67 | 23 | outrageous
186 | 91 | 59 | 50 | 67 | 18 | outrageous
48 | 91 | 2 | 44 | 67 | 48 | outrageous
726 | 96 | 2 | 34 | 67 | 42 | outrageous
297 | 112 | 42 | 26 | 67 | 25 | moderate
313 | 117 | 2 | 100 | 67 | 14 | supercheap
824 | 115 | 182 | 24 | 84 | 41 | cheap
664 | 83 | 2 | 19 | 63 | 7 | outrageous
176 | 171 | 25 | 32 | 67 | 8 | expensive
419 | 65 | 2 | 32 | 67 | 16 | outrageous
54 | 119 | 2 | 74 | 67 | 47 | supercheap
941 | 98 | 9 | 2 | 67 | 46 | moderate
88 | 96 | 59 | 41 | 67 | 25 | expensive
77 | 123 | 2 | 87 | 17 | 8 | cheap
94 | 83 | 165 | 73 | 67 | 17 | outrageous
505 | 131 | 130 | 24 | 67 | 1 | outrageous
347 | 125 | 159 | 79 | 67 | 2 | outrageous
533 | 108 | 59 | 78 | 67 | 44 | outrageous
167 | 86 | 47 | 7 | 66 | 37 | outrageous
567 | 95 | 2 | 75 | 67 | 21 | cheap
351 | 103 | 2 | 41 | 52 | 7 | supercheap
646 | 117 | 2 | 10 | 67 | 1 | outrageous
10 | 98 | 102 | 93 | 46 | 15 | outrageous
338 | 97 | 199 | 96 | 80 | 46 | outrageous
677 | 128 | 2 | 59 | 67 | 48 | supercheap
219 | 85 | 2 | 15 | 63 | 16 | outrageous
780 | 177 | 178 | 98 | 67 | 27 | outrageous
968 | 103 | 59 | 40 | 61 | 21 | outrageous
401 | 96 | 191 | 28 | 77 | 35 | moderate
423 | 107 | 5 | 72 | 67 | 13 | outrageous
141 | 93 | 2 | 1 | 76 | 18 | outrageous
15 | 89 | 23 | 39 | 67 | 31 | outrageous
394 | 128 | 70 | 38 | 67 | 46 | expensive
60 | 69 | 24 | 23 | 31 | 18 | outrageous
838 | 99 | 2 | 53 | 61 | 35 | moderate
224 | 134 | 182 | 31 | 9 | 8 | outrageous
455 | 80 | 2 | 24 | 61 | 9 | expensive
84 | 77 | 54 | 73 | 90 | 41 | expensive
46 | 107 | 2 | 33 | 6 | 3 | cheap
391 | 98 | 2 | 84 | 69 | 23 | expensive
53 | 116 | 2 | 28 | 94 | 42 | outrageous
513 | 133 | 167 | 21 | 61 | 40 | outrageous
465 | 83 | 2 | 88 | 46 | 23 | outrageous
757 | 88 | 51 | 3 | 67 | 1 | supercheap
279 | 99 | 2 | 63 | 67 | 24 | outrageous
897 | 113 | 59 | 74 | 60 | 46 | outrageous
869 | 131 | 2 | 32 | 68 | 43 | outrageous
87 | 110 | 59 | 18 | 85 | 6 | outrageous
52 | 113 | 47 | 65 | 61 | 31 | outrageous
527 | 79 | 2 | 59 | 49 | 24 | outrageous
86 | 71 | 154 | 1 | 67 | 22 | moderate
703 | 82 | 2 | 64 | 67 | 33 | cheap
855 | 132 | 140 | 24 | 67 | 3 | cheap
499 | 95 | 2 | 82 | 67 | 7 | expensive
718 | 120 | 2 | 98 | 55 | 40 | outrageous
250 | 135 | 2 | 73 | 87 | 31 | outrageous
635 | 103 | 25 | 40 | 61 | 12 | outrageous
293 | 134 | 105 | 69 | 67 | 29 | outrageous
278 | 101 | 2 | 30 | 67 | 9 | outrageous
126 | 118 | 2 | 6 | 61 | 34 | outrageous
725 | 90 | 186 | 52 | 67 | 34 | expensive
130 | 70 | 2 | 72 | 69 | 48 | supercheap
638 | 108 | 156 | 45 | 46 | 27 | supercheap
578 | 97 | 117 | 89 | 67 | 37 | moderate
989 | 99 | 2 | 81 | 61 | 50 | outrageous
925 | 107 | 2 | 94 | 63 | 43 | outrageous
201 | 94 | 2 | 68 | 67 | 48 | outrageous
665 | 135 | 102 | 25 | 46 | 26 | cheap
786 | 119 | 2 | 94 | 67 | 28 | supercheap
980 | 93 | 8 | 32 | 29 | 21 | moderate
828 | 108 | 2 | 92 | 73 | 13 | moderate
265 | 101 | 1 | 4 | 67 | 35 | moderate
617 | 103 | 51 | 56 | 67 | 8 | outrageous
754 | 106 | 166 | 100 | 67 | 16 | moderate
875 | 83 | 59 | 56 | 59 | 20 | outrageous
179 | 122 | 146 | 65 | 67 | 5 | expensive
341 | 129 | 59 | 49 | 67 | 23 | moderate
883 | 83 | 74 | 24 | 67 | 14 | moderate
830 | 116 | 63 | 49 | 67 | 45 | outrageous
296 | 115 | 74 | 75 | 49 | 10 | outrageous
884 | 103 | 81 | 22 | 53 | 6 | outrageous
529 | 103 | 133 | 28 | 69 | 4 | supercheap
586 | 133 | 57 | 82 | 80 | 35 | outrageous
720 | 48 | 47 | 61 | 67 | 26 | outrageous
562 | 89 | 21 | 15 | 78 | 3 | outrageous
449 | 100 | 59 | 66 | 54 | 48 | cheap
479 | 112 | 2 | 67 | 67 | 50 | supercheap
468 | 110 | 102 | 75 | 69 | 13 | expensive
39 | 98 | 22 | 84 | 100 | 45 | cheap
867 | 94 | 150 | 26 | 67 | 9 | moderate
389 | 127 | 2 | 92 | 67 | 18 | moderate
546 | 193 | 130 | 16 | 84 | 14 | cheap
191 | 96 | 59 | 63 | 49 | 8 | outrageous
601 | 106 | 47 | 21 | 67 | 48 | supercheap
958 | 67 | 2 | 16 | 22 | 6 | supercheap
41 | 111 | 2 | 6 | 67 | 48 | outrageous
741 | 120 | 51 | 60 | 67 | 24 | outrageous
977 | 111 | 2 | 31 | 48 | 12 | outrageous
434 | 73 | 59 | 10 | 67 | 8 | supercheap
115 | 88 | 59 | 33 | 67 | 21 | cheap
343 | 102 | 59 | 95 | 67 | 27 | outrageous
537 | 114 | 2 | 51 | 67 | 8 | outrageous
608 | 74 | 174 | 41 | 55 | 43 | supercheap
73 | 129 | 2 | 99 | 80 | 20 | outrageous
581 | 133 | 200 | 18 | 49 | 16 | supercheap
676 | 110 | 167 | 13 | 67 | 41 | outrageous
927 | 118 | 2 | 88 | 67 | 20 | outrageous
680 | 85 | 2 | 81 | 54 | 48 | outrageous
649 | 74 | 2 | 12 | 67 | 17 | outrageous
877 | 81 | 161 | 52 | 26 | 16 | moderate
333 | 95 | 189 | 43 | 67 | 24 | outrageous
379 | 84 | 8 | 7 | 67 | 28 | outrageous
666 | 107 | 59 | 14 | 93 | 47 | outrageous
